Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),Largest Cavity Diameter,Largest Free Sphere,PLD
58.9332,1.52,4.3,7.5,64,4.43864,3.9804,Small
58.9332,1.52,4.3,7.5,64,3.53566,3.51741,Small
58.9332,1.52,4.3,7.5,64,4.9992,4.982,Large
107.8682,1.65,4.44,7.9,126,1.2109,1.2109,Small
54.93805,1.61,3.72,9.4,-50,11.39487,11.39487,Large
107.8682,1.65,4.44,7.9,126,1.45533,1.45533,Small
107.8682,1.65,4.44,7.9,126,1.43609,1.40839,Small
58.9332,1.52,4.3,7.5,64,11.27344,11.27344,Large
158.92534,2.25,3.1,25.5,112,4.93969,4.93889,Large
63.546,1.45,4.48,6.7,119,11.25251,11.25251,Large
58.9332,1.52,4.3,7.5,64,1.81541,1.80785,Small
54.93805,1.61,3.72,9.4,-50,2.13608,2.11833,Small
55.847,1.56,4.06,8.4,15,2.05942,2.05073,Small
65.39,1.42,4.45,6.4,-60,3.23457,3.20514,Small
207.2,1.54,3.9,6.8,34,6.22232,6.18758,Large
65.39,1.42,4.45,6.4,-60,4.95126,4.95126,Large
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
138.9055,1.95,3.1,31.1,45,,,Small
151.965,2.31,3.1,27.7,83,,,Small
158.92534,2.25,3.1,25.5,112,,,Small
167.26,2.26,3.1,22.7,30,,,Small
107.8682,1.65,4.44,7.9,126,1.67292,1.29275,Small
65.39,1.42,4.45,6.4,-60,5.49574,5.49574,Large
58.9332,1.52,4.3,7.5,64,5.10081,5.09695,Large
65.39,1.42,4.45,6.4,-60,8.26184,8.26184,Large
58.6934,1.49,4.4,6.8,112,5.23439,5.17003,Large
112.411,1.61,4.33,7.2,-70,5.66735,5.66735,Large
44.95591,1.84,3.34,17.8,18,3.36484,3.36484,Large
55.847,1.56,4.06,8.4,15,6.48152,6.48152,Large
63.546,1.45,4.48,6.7,119,6.08481,6.00167,Large
55.847,1.56,4.06,8.4,15,2.62395,2.6185,Small
65.39,1.42,4.45,6.4,-60,6.22954,6.21878,Large
158.92534,2.25,3.1,25.5,112,7.12973,7.12973,Large
151.965,2.31,3.1,27.7,83,,,Small
158.92534,2.25,3.1,25.5,112,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,7.34692,7.34692,Large
58.9332,1.52,4.3,7.5,64,,,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
112.411,1.61,4.33,7.2,-70,2.69745,2.68119,Small
112.411,1.61,4.33,7.2,-70,2.57554,2.56529,Small
85.4678,2.65,2.34,47.3,47,,,Small
58.6934,1.49,4.4,6.8,112,,,Small
54.93805,1.61,3.72,9.4,-50,3.04167,3.04167,Small
58.9332,1.52,4.3,7.5,64,2.6141,2.6141,Small
54.93805,1.61,3.72,9.4,-50,1.77733,1.77387,Small
107.8682,1.65,4.44,7.9,126,8.02271,8.02271,Large
107.8682,1.65,4.44,7.9,126,10.0214,9.99216,Large
91.224,2.06,3.64,17.9,41,10.76894,10.75927,Large
58.9332,1.52,4.3,7.5,64,,,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,21.61885,17.61702,Large
63.546,1.45,4.48,6.7,119,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
65.39,1.42,4.45,6.4,-60,26.34279,16.37218,Large
63.546,1.45,4.48,6.7,119,19.96403,14.15856,Large
107.8682,1.65,4.44,7.9,126,10.5421,10.5421,Large
107.8682,1.65,4.44,7.9,126,10.34629,10.34629,Large
107.8682,1.65,4.44,7.9,126,,,Small
107.8682,1.65,4.44,7.9,126,10.15021,10.15021,Large
107.8682,1.65,4.44,7.9,126,10.34557,10.34557,Large
112.411,1.61,4.33,7.2,-70,6.80312,6.59725,Large
157.25,2.33,3.1,23.5,13,2.88073,2.87942,Small
157.25,2.33,3.1,23.5,13,2.88895,2.80568,Small
65.39,1.42,4.45,6.4,-60,2.18101,2.18101,Small
63.546,1.45,4.48,6.7,119,,,Small
138.9055,1.95,3.1,31.1,45,3.24532,3.2417,Large
63.546,1.45,4.48,6.7,119,4.36399,4.29546,Large
63.546,1.45,4.48,6.7,119,4.68965,4.67837,Large
58.9332,1.52,4.3,7.5,64,4.43355,4.41893,Large
107.8682,1.65,4.44,7.9,126,,,Small
63.546,1.45,4.48,6.7,119,10.01761,10.01629,Large
138.9055,1.95,3.1,31.1,45,5.97352,5.60501,Large
151.965,2.31,3.1,27.7,83,5.94494,5.61158,Large
158.92534,2.25,3.1,25.5,112,5.93079,5.58472,Large
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,9.30228,8.39094,Large
138.9055,1.95,3.1,31.1,45,3.09534,3.08876,Small
54.93805,1.61,3.72,9.4,-50,1.29492,1.15035,Small
58.6934,1.49,4.4,6.8,112,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
65.39,1.42,4.45,6.4,-60,7.62273,7.586,Large
58.6934,1.49,4.4,6.8,112,15.44592,15.44592,Large
55.847,1.56,4.06,8.4,15,4.18817,3.59004,Large
162.5,2.28,3.1,24.5,34,3.76592,3.76592,Large
107.8682,1.65,4.44,7.9,126,4.49346,4.49346,Large
58.9332,1.52,4.3,7.5,64,2.3957,2.3957,Small
58.9332,1.52,4.3,7.5,64,2.40011,2.38678,Small
112.411,1.61,4.33,7.2,-70,1.48057,1.46299,Small
58.9332,1.52,4.3,7.5,64,6.33013,6.32971,Large
58.9332,1.52,4.3,7.5,64,6.44385,6.42923,Large
157.25,2.33,3.1,23.5,13,,,Small
112.411,1.61,4.33,7.2,-70,1.70202,1.70202,Small
151.965,2.31,3.1,27.7,83,6.60057,6.59902,Large
150.36,2.38,3.1,28.8,16,6.68393,6.1212,Large
138.9055,1.95,3.1,31.1,45,6.397,6.31381,Large
140.115,1.85,3.1,29.6,635,6.68924,6.61679,Large
157.25,2.33,3.1,23.5,13,6.59796,6.53518,Large
144.24,2.06,3.1,31.4,185,6.65313,6.18579,Large
112.411,1.61,4.33,7.2,-70,7.60617,7.06175,Large
39.0983,2.43,2.42,43.4,48,,,Small
63.546,1.45,4.48,6.7,119,5.94533,5.94533,Large
58.9332,1.52,4.3,7.5,64,,,Small
63.546,1.45,4.48,6.7,119,7.77295,7.77147,Large
63.546,1.45,4.48,6.7,119,7.70341,7.70341,Large
162.5,2.28,3.1,24.5,34,6.0481,6.0481,Large
164.93032,2.26,3.1,23.6,33,5.66244,5.66244,Large
157.25,2.33,3.1,23.5,13,5.96558,5.96558,Large
140.90765,2.47,3.1,28.2,93,6.11713,6.11713,Large
150.36,2.38,3.1,28.8,16,5.64811,5.64811,Large
168.93421,2.22,3.1,21.8,99,3.06526,3.03859,Small
6.941,1.67,3.01,24.3,60,,,Small
58.9332,1.52,4.3,7.5,64,6.49748,6.49626,Large
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,5.27063,5.27063,Large
107.8682,1.65,4.44,7.9,126,2.1022,1.77282,Small
69.723,1.36,3.2,8.1,41,5.76017,5.76017,Large
40.078,1.94,2.2,22.8,2,3.67071,3.15977,Small
158.92534,2.25,3.1,25.5,112,,,Small
158.92534,2.25,3.1,25.5,112,2.6222,2.62,Small
63.546,1.45,4.48,6.7,119,3.67076,3.64368,Large
54.93805,1.61,3.72,9.4,-50,4.01913,4.01913,Small
54.93805,1.61,3.72,9.4,-50,4.5118,4.5118,Large
54.93805,1.61,3.72,9.4,-50,3.61774,3.60647,Small
65.39,1.42,4.45,6.4,-60,10.94794,7.97997,Large
63.546,1.45,4.48,6.7,119,,,Small
55.847,1.56,4.06,8.4,15,1.3569,1.35063,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
22.989768,1.9,2.85,23.6,53,,,Small
22.989768,1.9,2.85,23.6,53,,,Small
107.8682,1.65,4.44,7.9,126,0.89761,0.89301,Small
107.8682,1.65,4.44,7.9,126,0.94823,0.94823,Small
107.8682,1.65,4.44,7.9,126,0.95627,0.95281,Small
107.8682,1.65,4.44,7.9,126,0.94506,0.94506,Small
107.8682,1.65,4.44,7.9,126,1.56317,1.56317,Small
107.8682,1.65,4.44,7.9,126,1.52152,1.4687,Small
54.93805,1.61,3.72,9.4,-50,,,Small
63.546,1.45,4.48,6.7,119,2.77761,2.76762,Small
63.546,1.45,4.48,6.7,119,4.90012,4.90012,Small
63.546,1.45,4.48,6.7,119,5.67981,5.66818,Large
39.0983,2.43,2.42,43.4,48,,,Small
112.411,1.61,4.33,7.2,-70,2.43776,2.43776,Small
140.115,1.85,3.1,29.6,635,1.97554,1.96307,Small
138.9055,1.95,3.1,31.1,45,1.95358,1.9481,Small
138.9055,1.95,3.1,31.1,45,1.97946,1.96751,Small
138.9055,1.95,3.1,31.1,45,1.88312,1.87288,Small
63.546,1.45,4.48,6.7,119,5.52851,5.43127,Large
55.847,1.56,4.06,8.4,15,,,Small
55.847,1.56,4.06,8.4,15,,,Small
63.546,1.45,4.48,6.7,119,2.35225,2.35225,Small
6.941,1.67,3.01,24.3,60,,,Small
164.93032,2.26,3.1,23.6,33,,,Small
58.9332,1.52,4.3,7.5,64,9.74824,9.74824,Large
207.2,1.54,3.9,6.8,34,,,Small
207.2,1.54,3.9,6.8,34,,,Small
58.9332,1.52,4.3,7.5,64,5.55847,5.55001,Large
58.9332,1.52,4.3,7.5,64,5.31447,5.30925,Large
54.93805,1.61,3.72,9.4,-50,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
54.93805,1.61,3.72,9.4,-50,1.58627,1.58627,Small
63.546,1.45,4.48,6.7,119,4.43495,4.43419,Large
63.546,1.45,4.48,6.7,119,4.25517,4.25517,Large
63.546,1.45,4.48,6.7,119,4.49188,4.46943,Large
151.965,2.31,3.1,27.7,83,2.76177,2.76048,Small
150.36,2.38,3.1,28.8,16,2.75654,2.75508,Small
54.93805,1.61,3.72,9.4,-50,2.66919,2.43908,Small
207.2,1.54,3.9,6.8,34,1.62355,1.61227,Small
63.546,1.45,4.48,6.7,119,7.10028,7.10028,Small
63.546,1.45,4.48,6.7,119,7.3501,6.92152,Small
63.546,1.45,4.48,6.7,119,7.18168,6.72497,Small
208.98037,1.43,4.69,7.4,91,,,Small
208.98037,1.43,4.69,7.4,91,,,Small
112.411,1.61,4.33,7.2,-70,5.12194,5.12194,Large
207.2,1.54,3.9,6.8,34,1.84682,1.84682,Small
24.305,1.45,3.75,10.6,-40,2.40094,2.39808,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,2.29089,2.29089,Small
112.411,1.61,4.33,7.2,-70,2.44266,2.44266,Small
112.411,1.61,4.33,7.2,-70,2.34071,2.34071,Small
112.411,1.61,4.33,7.2,-70,1.69473,1.66659,Small
63.546,1.45,4.48,6.7,119,2.08486,2.07231,Small
63.546,1.45,4.48,6.7,119,,,Small
107.8682,1.65,4.44,7.9,126,,,Small
54.93805,1.61,3.72,9.4,-50,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
58.6934,1.49,4.4,6.8,112,7.14788,6.21478,Large
157.25,2.33,3.1,23.5,13,2.38411,2.38411,Small
157.25,2.33,3.1,23.5,13,2.5796,2.57203,Small
157.25,2.33,3.1,23.5,13,2.22798,2.22798,Small
158.92534,2.25,3.1,25.5,112,,,Small
140.90765,2.47,3.1,28.2,93,2.34455,2.06381,Small
140.90765,2.47,3.1,28.2,93,2.6179,2.60307,Small
63.546,1.45,4.48,6.7,119,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
40.078,1.94,2.2,22.8,2,2.92333,2.92333,Small
65.39,1.42,4.45,6.4,-60,17.33203,17.28375,Large
114.818,1.56,3.1,9.7,29,19.58882,19.5778,Large
63.546,1.45,4.48,6.7,119,18.06509,15.69451,Large
65.39,1.42,4.45,6.4,-60,18.20917,11.84134,Large
158.92534,2.25,3.1,25.5,112,2.33632,2.31142,Small
63.546,1.45,4.48,6.7,119,8.89228,8.89228,Large
63.546,1.45,4.48,6.7,119,9.4646,9.4646,Large
54.93805,1.61,3.72,9.4,-50,3.96739,3.96739,Small
54.93805,1.61,3.72,9.4,-50,1.3527,1.3527,Small
54.93805,1.61,3.72,9.4,-50,1.35759,1.10821,Small
107.8682,1.65,4.44,7.9,126,,,Small
63.546,1.45,4.48,6.7,119,,,Small
58.9332,1.52,4.3,7.5,64,4.78838,4.77521,Large
58.6934,1.49,4.4,6.8,112,4.5568,4.54864,Small
63.546,1.45,4.48,6.7,119,3.69353,3.6846,Large
54.93805,1.61,3.72,9.4,-50,4.23253,4.22411,Small
50.9415,1.71,3.6,12.4,51,3.17356,3.151,Small
138.9055,1.95,3.1,31.1,45,4.21186,4.15505,Small
140.115,1.85,3.1,29.6,635,4.19509,4.19487,Small
144.24,2.06,3.1,31.4,185,4.23007,4.09972,Small
88.90585,2.12,3.19,22.7,30,2.72505,2.54188,Small
162.5,2.28,3.1,24.5,34,2.77694,2.69277,Small
140.115,1.85,3.1,29.6,635,6.69309,6.69309,Large
150.36,2.38,3.1,28.8,16,6.68104,6.68104,Large
151.965,2.31,3.1,27.7,83,6.6661,6.66486,Large
157.25,2.33,3.1,23.5,13,6.65399,6.65399,Large
140.115,1.85,3.1,29.6,635,18.75081,18.51252,Large
140.115,1.85,3.1,29.6,635,7.81513,7.71291,Large
112.411,1.61,4.33,7.2,-70,2.01439,2.01291,Small
63.546,1.45,4.48,6.7,119,6.61413,6.61413,Large
63.546,1.45,4.48,6.7,119,6.73945,6.69035,Large
63.546,1.45,4.48,6.7,119,6.9357,6.93444,Large
207.2,1.54,3.9,6.8,34,1.80229,1.76649,Small
144.24,2.06,3.1,31.4,185,2.91841,2.91232,Small
107.8682,1.65,4.44,7.9,126,2.32181,2.31351,Small
207.2,1.54,3.9,6.8,34,,,Small
63.546,1.45,4.48,6.7,119,2.66626,2.66267,Small
112.411,1.61,4.33,7.2,-70,,,Small
151.965,2.31,3.1,27.7,83,,,Small
157.25,2.33,3.1,23.5,13,,,Small
158.92534,2.25,3.1,25.5,112,,,Small
162.5,2.28,3.1,24.5,34,,,Small
164.93032,2.26,3.1,23.6,33,,,Small
167.26,2.26,3.1,22.7,30,1.95306,1.95242,Small
144.24,2.06,3.1,31.4,185,2.04656,2.04656,Small
173.04,2.22,3.1,21,-2,1.94185,1.92529,Small
55.847,1.56,4.06,8.4,15,4.51764,4.51764,Small
58.9332,1.52,4.3,7.5,64,4.47228,4.46624,Small
58.6934,1.49,4.4,6.8,112,4.35273,4.35273,Small
58.6934,1.49,4.4,6.8,112,4.36001,4.34382,Small
58.6934,1.49,4.4,6.8,112,4.37932,4.37932,Small
63.546,1.45,4.48,6.7,119,4.35196,4.35196,Small
63.546,1.45,4.48,6.7,119,4.36611,4.36611,Small
65.39,1.42,4.45,6.4,-60,4.50747,4.48662,Small
65.39,1.42,4.45,6.4,-60,4.51868,4.50899,Small
65.39,1.42,4.45,6.4,-60,4.47286,3.8007,Small
158.92534,2.25,3.1,25.5,112,6.87946,6.87076,Large
151.965,2.31,3.1,27.7,83,6.9168,6.53545,Large
63.546,1.45,4.48,6.7,119,4.87577,4.87577,Small
55.847,1.56,4.06,8.4,15,4.48601,4.47037,Small
55.847,1.56,4.06,8.4,15,4.49937,4.49937,Small
39.0983,2.43,2.42,43.4,48,,,Small
150.36,2.38,3.1,28.8,16,2.35877,2.3246,Small
140.90765,2.47,3.1,28.2,93,2.36378,2.36378,Small
40.078,1.94,2.2,22.8,2,4.04145,4.04145,Large
24.305,1.45,3.75,10.6,-40,4.2686,4.2686,Small
24.305,1.45,3.75,10.6,-40,4.33839,4.33839,Small
24.305,1.45,3.75,10.6,-40,4.50321,4.49477,Small
24.305,1.45,3.75,10.6,-40,4.29345,4.29345,Small
24.305,1.45,3.75,10.6,-40,4.31356,4.31356,Small
24.305,1.45,3.75,10.6,-40,4.35834,4.26734,Small
24.305,1.45,3.75,10.6,-40,4.3827,4.3827,Small
24.305,1.45,3.75,10.6,-40,4.50171,4.3131,Small
24.305,1.45,3.75,10.6,-40,4.50712,4.50642,Small
200.59,1.71,4.91,5.4,-50,2.02119,2.01985,Small
114.818,1.56,3.1,9.7,29,5.5523,5.37916,Large
114.818,1.56,3.1,9.7,29,5.11866,5.11866,Large
114.818,1.56,3.1,9.7,29,6.92762,6.92762,Large
39.0983,2.43,2.42,43.4,48,1.69524,1.6946,Small
22.989768,1.9,2.85,23.6,53,1.53711,1.49077,Small
112.411,1.61,4.33,7.2,-70,2.72899,2.65881,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
65.39,1.42,4.45,6.4,-60,8.26528,8.26449,Large
65.39,1.42,4.45,6.4,-60,,,Small
22.989768,1.9,2.85,23.6,53,,,Small
54.93805,1.61,3.72,9.4,-50,12.00094,12.00094,Large
151.965,2.31,3.1,27.7,83,5.82803,5.82803,Large
158.92534,2.25,3.1,25.5,112,5.99371,5.99371,Large
138.9055,1.95,3.1,31.1,45,5.97076,5.96499,Large
151.965,2.31,3.1,27.7,83,6.57194,6.55023,Large
158.92534,2.25,3.1,25.5,112,6.61049,6.61008,Large
138.9055,1.95,3.1,31.1,45,7.1095,7.1095,Large
138.9055,1.95,3.1,31.1,45,4.80201,4.80201,Large
65.39,1.42,4.45,6.4,-60,3.01071,2.96433,Small
112.411,1.61,4.33,7.2,-70,2.97741,2.97741,Small
55.847,1.56,4.06,8.4,15,3.94813,3.94813,Small
63.546,1.45,4.48,6.7,119,,,Small
65.39,1.42,4.45,6.4,-60,8.51054,8.51054,Large
39.0983,2.43,2.42,43.4,48,2.66202,2.52914,Small
65.39,1.42,4.45,6.4,-60,6.90366,6.89498,Small
137.327,2.53,2.4,39.7,14,2.23026,2.23026,Small
58.6934,1.49,4.4,6.8,112,2.01411,2.01411,Small
58.6934,1.49,4.4,6.8,112,1.95192,1.70888,Small
58.9332,1.52,4.3,7.5,64,1.93948,1.90029,Small
58.9332,1.52,4.3,7.5,64,2.06671,1.98933,Small
207.2,1.54,3.9,6.8,34,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
137.327,2.53,2.4,39.7,14,2.08716,1.93064,Small
112.411,1.61,4.33,7.2,-70,,,Small
63.546,1.45,4.48,6.7,119,,,Small
65.39,1.42,4.45,6.4,-60,4.97281,4.96325,Small
138.9055,1.95,3.1,31.1,45,3.60542,1.91061,Small
150.36,2.38,3.1,28.8,16,3.49305,1.96663,Small
144.24,2.06,3.1,31.4,185,2.62643,2.62643,Small
144.24,2.06,3.1,31.4,185,2.2236,2.01012,Small
112.411,1.61,4.33,7.2,-70,2.06141,2.05506,Small
112.411,1.61,4.33,7.2,-70,2.02918,2.02111,Small
58.9332,1.52,4.3,7.5,64,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
58.9332,1.52,4.3,7.5,64,,,Small
65.39,1.42,4.45,6.4,-60,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
22.989768,1.9,2.85,23.6,53,,,Small
58.6934,1.49,4.4,6.8,112,,,Small
58.6934,1.49,4.4,6.8,112,,,Small
